V,dist
       -30.4420,         0.0664,
       -38.9807,         0.0008,
       -31.4235,         0.0000,
       -31.3863,         0.0000,
       -31.3491,         0.0000,
       -31.3119,         0.0000,
       -31.2747,         0.0000,
       -31.2375,         0.0000,
       -31.2004,         0.0000,
       -31.1632,         0.0000,
       -31.1260,         0.0000,
       -31.0888,         0.0000,
       -31.0516,         0.0000,
       -31.0144,         0.0000,
       -30.9772,         0.0000,
       -30.9401,         0.0000,
       -30.9029,         0.0000,
       -30.8657,         0.0000,
       -30.8285,         0.0000,
       -30.7913,         0.0000,
       -30.7541,         0.0000,
       -30.7169,         0.0000,
       -30.6797,         0.0000,
       -30.6426,         0.0000,
       -30.6054,         0.0000,
       -30.5682,         0.0000,
       -30.5310,         0.0000,
       -30.4938,         0.0000,
       -30.4566,         0.0000,
       -30.4194,         0.0000,
       -30.3823,         0.0000,
       -30.3451,         0.0000,
       -30.3079,         0.0000,
       -30.2707,         0.0000,
       -30.2335,         0.0000,
       -30.1963,         0.0000,
       -30.1591,         0.0000,
       -30.1219,         0.0000,
       -30.0848,         0.0000,
       -30.0476,         0.0000,
       -30.0104,         0.0000,
       -29.9732,         0.0007,
       -29.9360,         0.0000,
       -29.8988,         0.0000,
       -29.8616,         0.0000,
       -29.8245,         0.0000,
       -29.7873,         0.0000,
       -29.7501,         0.0000,
       -29.7129,         0.0000,
       -29.6757,         0.0000,
       -29.6385,         0.0000,
       -29.6013,         0.0000,
       -29.5642,         0.0000,
       -29.5270,         0.0000,
       -29.4898,         0.0000,
       -29.4526,         0.0000,
       -29.4154,         0.0000,
       -29.3782,         0.0000,
       -29.3410,         0.0000,
       -29.3038,         0.0006,
       -29.2667,         0.0000,
       -29.2295,         0.0000,
       -29.1923,         0.0000,
       -29.1551,         0.0000,
       -29.1179,         0.0000,
       -29.0807,         0.0000,
       -29.0435,         0.0000,
       -29.0064,         0.0000,
       -28.9692,         0.0000,
       -28.9320,         0.0000,
       -28.8948,         0.0000,
       -28.8576,         0.0000,
       -28.8204,         0.0000,
       -28.7832,         0.0005,
       -28.7460,         0.0000,
       -28.7089,         0.0000,
       -28.6717,         0.0000,
       -28.6345,         0.0206,
       -28.5973,         0.0000,
       -28.5601,         0.0000,
       -28.5229,         0.0000,
       -28.4857,         0.0000,
       -28.4486,         0.0004,
       -28.4114,         0.0000,
       -28.3742,         0.0001,
       -28.3370,         0.0000,
       -28.2998,         0.0000,
       -28.2626,         0.0189,
       -28.2254,         0.0001,
       -28.1882,         0.0000,
       -28.1511,         0.0005,
       -28.1139,         0.0000,
       -28.0767,         0.0178,
       -28.0395,         0.0013,
       -28.0023,         0.0177,
       -27.9651,         0.0007,
       -27.9279,         0.0188,
       -27.8908,         0.8324,
       -27.8536,         0.0018,
       -27.8164,         0.0000,
       -27.7792,         0.0000,
       -27.7420,         0.0000,
