V,J(y1),J(y2),w(y1),w(y2),dprime(y1),dprime(y2),P(y1),P(y2),th(y1),th(y1),R(y1),R(y1),Ptilde(y),Ptilde(y2),Jtilde(y1),Jtilde(y2),M(y1),M(y2),
       -22.3390,         1.4724,         1.6562,         0.5764,         0.5013,         1.0000,         1.0000,         0.5296,         0.5525,         7.1435,         8.3819,         0.5555,         0.7109,         0.3575,         0.3848,         1.4724,         1.6562,    75,    89,
       -22.3180,         1.4657,         1.6511,         0.5831,         0.5064,         1.0000,         1.0000,         0.5287,         0.5519,         7.0984,         8.3472,         0.5480,         0.7029,         0.3575,         0.3848,         1.4657,         1.6511,    75,    89,
       -22.2970,         1.4588,         1.6459,         0.5900,         0.5116,         1.0000,         1.0000,         0.5277,         0.5513,         7.0524,         8.3118,         0.5405,         0.6948,         0.3527,         0.3848,         1.4588,         1.6459,    76,    89,
       -22.2760,         1.4517,         1.6406,         0.5971,         0.5169,         1.0000,         1.0000,         0.5268,         0.5506,         7.0053,         8.2756,         0.5331,         0.6867,         0.3527,         0.3848,         1.4517,         1.6406,    76,    89,
       -22.2550,         1.4444,         1.6351,         0.6044,         0.5224,         1.0000,         1.0000,         0.5258,         0.5500,         6.9571,         8.2387,         0.5257,         0.6787,         0.3527,         0.3803,         1.4444,         1.6351,    76,    90,
       -22.2340,         1.4370,         1.6296,         0.6118,         0.5279,         1.0000,         1.0000,         0.5247,         0.5494,         6.9077,         8.2011,         0.5183,         0.6707,         0.3527,         0.3803,         1.4370,         1.6296,    76,    90,
       -22.2130,         1.4294,         1.6239,         0.6194,         0.5336,         1.0000,         1.0000,         0.5237,         0.5487,         6.8572,         8.1627,         0.5109,         0.6627,         0.3527,         0.3758,         1.4294,         1.6239,    76,    91,
       -22.1920,         1.4216,         1.6182,         0.6272,         0.5394,         1.0000,         1.0000,         0.5226,         0.5480,         6.8055,         8.1234,         0.5036,         0.6548,         0.3476,         0.3758,         1.4216,         1.6182,    77,    91,
       -22.1710,         1.4136,         1.6122,         0.6352,         0.5453,         1.0000,         1.0000,         0.5214,         0.5473,         6.7525,         8.0833,         0.4963,         0.6470,         0.3476,         0.3758,         1.4136,         1.6122,    77,    91,
       -22.1500,         1.4054,         1.6062,         0.6435,         0.5513,         1.0000,         1.0000,         0.5203,         0.5466,         6.6982,         8.0424,         0.4890,         0.6391,         0.3476,         0.3758,         1.4054,         1.6062,    77,    91,
       -22.1290,         1.3969,         1.6000,         0.6519,         0.5575,         1.0000,         1.0000,         0.5191,         0.5458,         6.6425,         8.0006,         0.4817,         0.6313,         0.3476,         0.3712,         1.3969,         1.6000,    77,    92,
       -22.1080,         1.3883,         1.5937,         0.6605,         0.5638,         1.0000,         1.0000,         0.5178,         0.5451,         6.5854,         7.9578,         0.4744,         0.6235,         0.3476,         0.3712,         1.3883,         1.5937,    77,    92,
